,Kingdom,Phylum,Class,Order,Family,Genus,Species,AQH
ASV1846,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Sphaerellopsis,s__macroconidialis,
ASV1847,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Dactylaria,s__mitrata,
ASV1848,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Schizoporaceae,NA,NA,
ASV1849,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Suillaceae,g__Suillus,s__bovinus,
ASV1850,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meruliaceae,g__Ceraceomyces,s__serpens,
ASV1853,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Neoascochyta,s__desmazieri,
ASV1856,k__Fungi,p__Monoblepharomycota,c__Monoblepharidomycetes,o__Monoblepharidales,NA,NA,NA,
ASV1857,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Phialophora,s__phaeophora,
ASV1858,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA,
ASV1859,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,g__Lepiota,s__cristata,
ASV186,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__elongata,
ASV1862,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Hymenochaetaceae,g__Mensularia,s__nodulosa,
ASV1864,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Phaffomycetaceae,g__Cyberlindnera,s__sargentensis,
ASV1865,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Massariaceae,g__Massaria,s__anomia,
ASV1868,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Leotiaceae,g__Neobulgaria,NA,
ASV187,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Pseudosigmoidea,s__ibarakiensis,
ASV1870,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Cyphellophoraceae,g__Cyphellophora,NA,
ASV1873,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,g__Cutaneotrichosporon,s__cutaneum,
ASV1875,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,NA,NA,NA,
ASV1879,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Stemphylium,NA,
ASV188,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV1881,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Leptosphaeriaceae,g__Leptosphaeria,s__rubefaciens,
ASV1882,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA,
ASV1883,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,NA,NA,NA,
ASV1884,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,s__inositophila,
ASV1886,k__Fungi,p__Ascomycota,c__Taphrinomycetes,o__Taphrinales,f__Taphrinaceae,g__Taphrina,NA,
ASV189,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,NA,NA,NA,
ASV1891,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Halomycetaceae,g__Paranamyces,s__uniporus,
ASV1892,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,s__karalitana,
ASV1893,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Botryosphaeriales,f__Botryosphaeriaceae,NA,NA,
ASV1895,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Strophariaceae,g__Kuehneromyces,s__mutabilis,
ASV1898,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,s__planktonicum,
ASV19,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleomassariaceae,NA,NA,
ASV1901,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Halomycetaceae,NA,NA,
ASV1902,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Conocybe,s__semiglobata,
ASV1903,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,s__americae-meridionalis,
ASV1905,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Trechispora,NA,
ASV1906,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA,
ASV1907,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Parasola,s__leiocephala,
ASV1908,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Mytilinidiales,f__Mytilinidiales_fam_Incertae_sedis,g__Halokirschsteiniothelia,s__maritima,
ASV1909,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV191,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,NA,NA,
ASV1914,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,NA,
ASV1915,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,g__Powellomyces,NA,
ASV1916,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA,
ASV1917,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS05,NA,NA,NA,
ASV1918,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,NA,
ASV1919,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,NA,
ASV192,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV1920,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,NA,
ASV1921,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA,
ASV1922,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meripilaceae,g__Rigidoporus,s__sanguinolentus,
ASV1923,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Hyponectriaceae,g__Physalospora,s__scirpi,
ASV1924,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Hymenochaetales,f__Schizoporaceae,g__Hyphodontia,s__pallidula,
ASV1926,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Holtermanniales,f__Holtermanniales_fam_Incertae_sedis,g__Holtermanniella,s__takashimae,
ASV1929,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,
ASV193,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lentitheciaceae,g__Lentithecium,s__pseudoclioninum,
ASV1930,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__pseudodichotomus,
ASV1931,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,
ASV1932,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,NA,
ASV1934,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Chalara,NA,
ASV1936,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,
ASV1938,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,s__fimeti,
ASV1939,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Dermateaceae,g__Pezicula,NA,
ASV194,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,g__Fusidium,NA,
ASV1941,k__Fungi,p__Ascomycota,c__Eurotiomycetes,NA,NA,NA,NA,
ASV1944,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meruliaceae,g__Phanerochaete,s__tuberculata,
ASV1946,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Mycopappus,s__alni,
ASV1948,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,NA,NA,NA,
ASV1949,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Rhynchogastremataceae,g__Papiliotrema,s__terrestris,
ASV1950,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__pinicola,
ASV1951,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA,
ASV1952,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS12,NA,NA,NA,
ASV1955,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Rhinocladiella,NA,
ASV1956,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Wojnowiciella,s__eucalypti,
ASV1957,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Pseudosigmoidea,s__ibarakiensis,
ASV1960,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium,s__arescens,
ASV1962,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Kazachstania,s__slooffiae,
ASV1963,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA,NA,
ASV1964,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,NA,
ASV1965,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,NA,NA,
ASV1966,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA,
ASV1967,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA,
ASV1968,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Periconiaceae,g__Periconia,s__pseudodigitata,
ASV1969,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__persica,
ASV197,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__luteoalbum,
ASV1972,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Paraphoma,NA,
ASV1973,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinopsis,s__pseudofriesii,
ASV1975,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Sphaerulina,NA,
ASV1976,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Idriella,NA,
ASV1977,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Sympoventuriaceae,g__Pseudosigmoidea,s__ibarakiensis,
