"Leaf.bag.number","time.point","weight_start","stream","treatment","replicate","number.days","dry_weight_rest","ashes_rest","dry_weight_OMD","ashes_OMD","dry_weight_conidia","ashes_conidia","dry_weight_ergosterol","disks_OMD","disks_conidia","disks_total"
197,"April",7,"Klingbach","transplant",3,23,5440.33,743.55,30.72,3.22,20.48,2.6,NA,7,5,33
198,"April",NA,"Otterbach","forest",2,23,5584.8,1239.89,23.31,3.01,14.43,1.45,NA,7,5,33
201,"April",6.993,"Kropsbach","vine",4,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
203,"April",7.037,"Hainbach","transplant",4,23,6512.5,1914.04,31.94,6.53,19.25,2.27,NA,7,5,33
204,"April",6.953,"Triefenbach","vine",5,23,4931.73,770.76,21.83,2.46,15.25,2.02,NA,7,5,33
205,"April",7.022,"Hainbach","forest",6,23,6433.9,2050.15,24.49,2.86,14.24,1.19,NA,7,5,33
206,"April",6.976,"Isenach","transplant",4,23,4829.9,800.2,23.32,2.04,15.88,1.04,NA,7,5,33
208,"April",7.044,"Triefenbach","forest",1,23,7132.52,2714.91,27.9,5.52,15.82,1.28,NA,7,5,33
211,"April",6.953,"Triefenbach","vine",7,23,6049.51,1661.25,NA,NA,16.75,2.51,NA,0,5,33
213,"April",6.974,"Hainbach","vine",4,23,4711.24,661.08,16.43,1.15,13.51,1.65,NA,7,5,33
214,"April",6.981,"Russbach","vine",3,23,5475.9,1068.52,21.98,1.57,17.36,1.73,NA,7,5,33
215,"April",7.026,"Russbach","transplant",5,23,6400.24,2038,29.8,7.15,17.41,2.54,NA,7,5,33
216,"April",7.025,"Russbach","transplant",7,23,5847.27,1494.95,32.84,9.74,20.33,4.26,NA,7,5,33
218,"April",6.826,"Triefenbach","vine",6,23,6210.51,1396.81,27.74,4.33,14.7,1.89,NA,7,5,33
219,"April",6.967,"Triefenbach","transplant",2,23,5616,1297.4,27.87,5.03,19.33,2.55,NA,7,5,33
220,"April",7.037,"Hainbach","forest",7,23,6721.15,2247.35,28.63,5.24,15.5,1.67,NA,7,5,33
221,"April",6.966,"Modenbach","transplant",1,23,7227,3048.04,30.15,9.04,15.88,1.92,NA,7,5,33
223,"April",6.972,"Hainbach","vine",6,23,5129.01,774.25,22.28,2.17,14.71,1.06,NA,7,5,33
224,"April",6.963,"Hainbach","transplant",1,23,5314.06,1030.08,29.42,5.98,11.07,1.01,NA,7,5,33
225,"April",6.996,"Modenbach","vine",4,23,5695,1340.82,19.72,4.73,14.68,1.47,NA,7,5,33
226,"April",6.977,"Kaiserbach","transplant",4,23,5446,1262.1,23.95,4.5,14.39,2.14,NA,7,5,33
227,"April",7.023,"Triefenbach","forest",6,23,8504.62,3210.14,46.7,22.86,20.95,7.85,NA,7,5,33
228,"April",7.045,"Kropsbach","vine",6,23,4791.17,828.11,25.63,3.66,17.28,1.72,NA,7,5,33
231,"April",6.953,"Kaiserbach","vine",3,23,5708.33,1404.96,27.88,5.8,18.07,3.48,NA,7,5,33
232,"April",7.016,"Isenach","vine",4,23,4595,486.33,23.06,1.84,16.43,0.93,NA,7,5,33
233,"April",7.036,"Kropsbach","transplant",2,23,NA,NA,25.87,4.52,17.25,2.82,NA,7,5,33
234,"April",7.045,"Triefenbach","vine",1,23,5351.86,973.89,24.92,2.19,18.27,1.43,NA,7,5,33
235,"April",6.986,"Kropsbach","vine",5,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
236,"April",6.977,"Dierbach","vine",2,23,5046.01,859.39,25.05,3.23,19.6,2.16,NA,7,5,33
237,"April",6.966,"Hainbach","forest",4,23,6529.8,1950.67,30.33,5.84,19.86,4.43,NA,7,5,33
238,"April",6.971,"Otterbach","transplant",6,23,5155.28,939.05,25.62,5.37,16.55,1.98,NA,7,5,33
240,"April",6.984,"Triefenbach","forest",4,23,7935.67,3440.71,30.94,7.02,15.94,3.47,NA,7,5,33
243,"April",6.995,"Isenach","vine",7,23,5019.62,941.09,29.66,3.51,18.85,1.68,NA,7,5,33
244,"April",6.981,"Klingbach","transplant",2,23,5458.84,1116,22.04,1.93,15.03,1.36,NA,7,5,33
245,"April",6.966,"Klingbach","forest",4,23,5016.22,884.83,21.66,3.06,18.34,2.38,NA,7,5,33
250,"April",6.953,"Russbach","transplant",1,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
252,"April",7.016,"Otterbach","transplant",5,23,5627.5,1280.81,28.43,8.64,18.19,2.03,NA,7,5,33
253,"April",7.042,"Kaiserbach","transplant",1,23,5767,1367.4,24.14,4.49,15.59,2.3,NA,7,5,33
255,"April",7.016,"Klingbach","vine",2,23,5225,851.97,27.34,4.23,16,1.9,NA,7,5,33
256,"April",6.966,"Kropsbach","forest",5,23,6030.6,1747.86,30.71,5.99,19,2.38,NA,7,5,33
260,"April",6.954,"Kropsbach","forest",7,23,5483.16,1254.5,33.8,6.16,16.46,2.29,NA,7,5,33
261,"April",6.953,"Kaiserbach","forest",6,23,5186.81,966.43,25.3,4.36,16.73,2.32,NA,7,5,33
262,"April",6.967,"Dierbach","transplant",5,23,5681.7,1496.66,29.95,6.43,15.11,5.99,NA,7,5,33
265,"April",6.991,"Modenbach","vine",6,23,5680.8,1621.5,25.81,4.53,15.95,1.67,NA,7,5,33
266,"April",6.975,"Dierbach","vine",3,23,4820.75,738.71,23.82,2.17,18.27,2.44,NA,7,5,33
269,"April",7.013,"Klingbach","forest",7,23,4756.34,600.32,20.38,1.73,13.08,0.91,NA,7,5,33
271,"April",7.024,"Kropsbach","vine",7,23,NA,NA,34.27,13.35,13.63,2.17,NA,7,5,33
274,"April",7.015,"Kaiserbach","transplant",6,23,5096.7,991.27,24.72,4.05,15.03,1.98,NA,7,5,33
275,"April",7.005,"Modenbach","vine",7,23,5446.31,1318.55,24.99,4.01,16.98,1.53,NA,7,5,33
276,"April",6.983,"Kropsbach","forest",6,23,5068.44,592.57,26.37,2.51,16.27,1.79,NA,7,5,33
283,"April",7.033,"Otterbach","vine",4,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
286,"April",6.996,"Kropsbach","transplant",1,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
287,"April",7.013,"Modenbach","transplant",6,23,5896.97,1749.48,23.9,7.74,17.04,1.77,NA,7,5,33
288,"April",6.994,"Modenbach","vine",2,23,6520.19,2450.26,22.75,4.22,16.41,2.89,NA,7,5,33
290,"April",6.966,"Kropsbach","transplant",6,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
291,"April",7.002,"Klingbach","forest",6,23,5329.15,1152.15,28.61,4.25,14.91,2.29,NA,7,5,33
294,"April",7.035,"Klingbach","vine",5,23,20407,14753.73,24.62,1.53,17.67,1.27,NA,7,5,33
295,"April",6.96,"Kaiserbach","transplant",3,23,6014.2,1455.78,27.02,5.44,15.57,2.52,NA,7,5,33
296,"April",7.006,"Russbach","forest",5,23,5610,1320.3,26.08,5.06,17.49,2.04,NA,7,5,33
298,"April",7.023,"Dierbach","transplant",6,23,5253.91,682.96,28.1,2.45,15.52,1.12,NA,7,5,33
305,"April",6.961,"Isenach","transplant",1,23,5810.7,1635.52,33.13,11.99,14.52,2.17,NA,7,5,33
327,"April",6.977,"Dierbach","vine",6,23,5209.93,1051.87,28.8,5.53,14.57,1.85,NA,7,5,33
700,"April",7.006,"Otterbach","transplant",3,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA
790,"April",NA,"Klingbach","vine",3,23,4914.06,643.47,22.81,2.13,15.37,1.09,NA,7,5,33
1,"June",3.956,"Kaiserbach","transplant",7,20,2488.9,671.02,30,2.79,22.35,3.61,NA,7,5,33
3,"June",4.037,"Kaiserbach","vine",1,20,2369.34,511.73,21.67,3.62,14.19,1.27,NA,7,5,33
4,"June",4.044,"Klingbach","transplant",3,20,2380.71,593.93,NA,NA,14.79,1.37,NA,0,5,11
6,"June",4.037,"Klingbach","vine",1,20,2006.39,167.27,21.62,1.16,16.09,0.91,NA,7,5,33
7,"June",3.998,"Kropsbach","vine",2,20,2617.1,1265.06,NA,NA,11.35,1.63,NA,0,5,8
8,"June",4.018,"Triefenbach","forest",5,20,2786.8,610.96,21.59,3.83,13.44,1.3,NA,7,5,33
10,"June",3.996,"Klingbach","transplant",2,20,2545.2,676.67,25.18,2.39,17.49,2.36,NA,7,5,33
11,"June",3.985,"Russbach","vine",7,20,2638.36,685.7,39.51,6.96,16.29,1.91,NA,7,5,33
12,"June",3.991,"Russbach","vine",3,20,2540.19,396.03,31.38,2.43,20.35,1.42,NA,7,5,33
13,"June",3.998,"Dierbach","vine",4,20,2615.03,649.32,27.89,4.04,13.57,1.11,NA,7,5,33
14,"June",3.961,"Kropsbach","forest",6,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
